"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Tim Ream","FUL","D","279","FA","@SHU Sun 3:00AM","5.5","1.83","0%","-0.8%","3","0","0","0","0","0","3","0","0","0","0","174","94.1","6","0","0","6","0","4","0","0","7","0","0"
"Aaron Wan-Bissaka","MUN","D","280","splitt1n","@NEW Sun 3:00AM","5.25","2.62","93%","-4.3%","2","0","0","0","0","0","5","1","0","0","0","68","87.2","13","0","3","1","1","1","0","0","8","0","0"
"Jonny Evans","LEI","D","281","STV","AVL Sun 3:00AM","5.25","2.62","73%","+9.3%","2","0","0","0","0","0","2","0","0","1","0","96","87.3","3","0","4","4","0","3","0","0","4","0","0"
"Ashley Barnes","BUR","F","282","FA","@WBA Sun 3:00AM","5.25","5.25","27%","+17.7%","1","0","0","2","0","0","0","1","0","1","0","8","44.4","3","1","0","0","0","6","0","0","0","0","0"
"Mark Noble","WHU","M","283","FA","@TOT Mon 4:30AM","5.25","1.75","13%","+2.9%","3","0","0","1","0","0","0","1","0","0","0","44","88.0","12","0","0","0","0","0","0","0","0","0","0"
"Keinan Davis","AVL","F","284","FA","@LEI Sun 3:00AM","5","5","0%","-0.2%","1","0","0","1","0","0","0","1","0","0","0","11","84.6","7","0","0","1","0","1","0","0","0","0","0"
"William Smallbone","SOU","M","285","FA","@CHE Sun 3:00AM","5","2.5","0%","-0.8%","2","0","0","0","0","0","1","1","0","0","0","37","88.1","7","0","2","0","0","0","0","0","0","0","0"
"Kelechi Iheanacho","LEI","F","286","FA","AVL Sun 3:00AM","4.75","2.38","7%","-2.5%","2","0","0","1","0","0","0","0","0","0","0","15","88.2","10","0","0","0","0","0","0","0","0","0","0"
"Fred","MUN","M","287","FA","@NEW Sun 3:00AM","4.75","2.38","0%","-3.3%","2","0","0","0","0","0","0","0","0","0","0","35","81.4","4","0","0","0","3","0","0","0","0","0","0"
"Aymeric Laporte","MCI","D","288","MKJ","ARS Sun 5:30AM","4.5","4.5","93%","-2.4%","1","0","0","0","0","0","0","0","0","0","0","28","77.8","2","0","1","3","0","2","0","0","1","0","0"
"Dan Burn","BHA","D","289","FA","@CRY Mon 2:00AM","4.5","4.5","7%","-14.8%","1","0","0","0","0","0","0","0","0","0","0","14","77.8","4","0","2","0","0","3","0","0","0","0","0"
"Christian Pulisic","CHE","M,F","290","STV","SOU Sun 3:00AM","4.25","4.25","93%","-6.6%","1","0","0","0","0","0","2","0","0","0","0","3","60.0","1","0","0","2","0","0","0","0","0","0","0"
